,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Saldanha,ZA,1619221241,-33.0117,17.9442,13.0,76,85,1.54,overcast clouds
278,Byron Bay,AU,1619221640,-28.65,153.6167,19.0,63,1,3.09,clear sky
279,Buraydah,SA,1619221359,26.326,43.975,25.0,20,0,2.57,clear sky
280,Aloleng,PH,1619221640,16.1307,119.7824,27.51,69,25,4.13,scattered clouds
281,Belyy Yar,RU,1619221629,53.6039,91.3903,-3.0,59,43,2.0,scattered clouds
282,Sibu,MY,1619221641,2.3,111.8167,25.0,88,20,1.03,few clouds
283,Jerome,US,1619221356,42.7241,-114.5186,17.0,17,1,8.23,clear sky
284,San Cristobal,VE,1619221298,7.7669,-72.225,29.0,65,20,3.6,few clouds
285,Bosarkany,HU,1619221641,47.6882,17.25,5.0,75,0,2.36,clear sky
286,Abu Dhabi,AE,1619221357,24.4667,54.3667,27.0,50,0,1.54,clear sky
288,Makakilo City,US,1619221642,21.3469,-158.0858,28.0,51,75,4.12,broken clouds
289,Nouadhibou,MR,1619221339,20.931,-17.0347,18.0,88,0,7.2,clear sky
290,Norman Wells,CA,1619221344,65.282,-126.8329,2.0,38,75,4.63,broken clouds
291,Dunedin,NZ,1619221170,-45.8742,170.5036,13.33,84,77,2.24,broken clouds
292,Portland,US,1619221326,45.5234,-122.6762,17.22,36,75,2.57,broken clouds
293,Nanortalik,GL,1619221345,60.1432,-45.2371,2.26,87,13,1.68,few clouds
294,Half Moon Bay,US,1619221642,37.4636,-122.4286,16.67,82,75,3.6,haze
295,Yatou,CN,1619221642,37.15,122.3833,10.25,85,100,7.12,light rain
296,Alberton,CA,1619221643,46.8168,-64.0654,4.0,65,98,6.17,overcast clouds
297,Guanica,PR,1619221643,17.9716,-66.908,26.11,73,16,0.89,few clouds
298,Bud,US,1619221643,39.447,-86.1758,14.0,44,90,2.06,overcast clouds
299,Luba,GQ,1619221643,3.4568,8.5547,27.66,81,100,2.41,overcast clouds
300,Preobrazheniye,RU,1619221545,42.9019,133.9064,13.0,63,100,1.68,overcast clouds
301,Tianpeng,CN,1619221385,30.9866,103.9393,19.44,1,74,0.46,broken clouds
302,Beringovskiy,RU,1619221260,63.05,179.3167,-1.97,86,99,2.24,overcast clouds
303,Ribeira Grande,PT,1619221262,38.5167,-28.7,14.71,77,41,12.79,scattered clouds
304,Nokia,FI,1619221644,61.4667,23.5,1.67,93,75,4.12,light rain
305,Cuamba,MZ,1619221644,-14.8031,36.5372,17.94,90,59,1.14,broken clouds
306,Noyabrsk,RU,1619221644,63.1994,75.4507,1.13,95,91,6.27,light rain
307,Ranau,MY,1619221644,5.9538,116.6641,26.0,89,20,1.54,few clouds
308,Bayan,CN,1619221645,46.0833,127.4,7.75,25,100,7.85,overcast clouds
309,Ahuimanu,US,1619221645,21.4447,-157.8378,28.0,73,75,8.23,light rain
310,Cayenne,GF,1619221399,4.9333,-52.3333,25.56,94,75,1.03,moderate rain
311,Halmstad,SE,1619221645,56.6745,12.8568,3.0,65,0,2.06,clear sky
